flag provided but not defined: -addr
Usage of C:\Users\Fwind43\Desktop\code\GenericAgent-Admin-Go\GenericAgent-Admin-Go.exe:
  -headless
    	run without browser, tray, or desktop pet; intended for Linux servers
  -no-browser
    	do not open the web UI automatically
  -port int
    	override HTTP listen port for this launch (1-65535)
  -server-only
    	alias for --headless

--- restart with -port 8799 ---
2026/06/25 10:16:16 desktop pet action=review ticks=18 loop=true
2026/06/25 10:16:34 desktop pet action=waving ticks=14 loop=false
2026/06/25 10:16:48 desktop pet action=jumping ticks=16 loop=false
2026/06/25 10:17:02 desktop pet action=waiting ticks=18 loop=true
2026/06/25 10:17:17 desktop pet action=running ticks=18 loop=true
2026/06/25 10:17:33 desktop pet action=review ticks=18 loop=true
2026/06/25 10:17:49 desktop pet action=waving ticks=14 loop=false
2026/06/25 10:18:04 desktop pet action=jumping ticks=16 loop=false
2026/06/25 10:18:20 desktop pet action=waiting ticks=18 loop=true
2026/06/25 10:18:37 desktop pet action=running ticks=18 loop=true
2026/06/25 10:18:54 desktop pet action=review ticks=18 loop=true
2026/06/25 10:19:11 desktop pet action=waving ticks=14 loop=false
2026/06/25 10:19:28 desktop pet action=jumping ticks=16 loop=false
2026/06/25 10:19:42 desktop pet action=waiting ticks=18 loop=true
2026/06/25 10:19:57 desktop pet action=running ticks=18 loop=true
2026/06/25 10:20:12 desktop pet action=review ticks=18 loop=true
2026/06/25 10:20:28 desktop pet action=waving ticks=14 loop=false
2026/06/25 10:20:43 desktop pet action=jumping ticks=16 loop=false
2026/06/25 10:20:59 desktop pet action=waiting ticks=18 loop=true
2026/06/25 10:21:16 desktop pet action=running ticks=18 loop=true
2026/06/25 10:21:32 desktop pet action=review ticks=18 loop=true
2026/06/25 10:21:50 desktop pet action=waving ticks=14 loop=false
2026/06/25 10:22:06 desktop pet action=jumping ticks=16 loop=false
2026/06/25 10:22:21 desktop pet action=waiting ticks=18 loop=true
2026/06/25 10:22:35 desktop pet action=running ticks=18 loop=true
2026/06/25 10:22:51 desktop pet action=review ticks=18 loop=true
2026/06/25 10:23:06 desktop pet action=waving ticks=14 loop=false
2026/06/25 10:23:21 desktop pet action=jumping ticks=16 loop=false
2026/06/25 10:23:37 desktop pet action=waiting ticks=18 loop=true
2026/06/25 10:23:53 desktop pet action=running ticks=18 loop=true
2026/06/25 10:24:10 desktop pet action=review ticks=18 loop=true
2026/06/25 10:24:27 desktop pet action=waving ticks=14 loop=false
2026/06/25 10:24:43 desktop pet action=jumping ticks=16 loop=false
2026/06/25 10:25:01 desktop pet action=waiting ticks=18 loop=true
2026/06/25 10:25:15 desktop pet action=running ticks=18 loop=true
2026/06/25 10:25:30 desktop pet action=review ticks=18 loop=true
2026/06/25 10:25:46 desktop pet action=waving ticks=14 loop=false
2026/06/25 10:26:01 desktop pet action=jumping ticks=16 loop=false
2026/06/25 10:26:16 desktop pet action=waiting ticks=18 loop=true
2026/06/25 10:26:33 desktop pet action=running ticks=18 loop=true
2026/06/25 10:26:49 desktop pet action=review ticks=18 loop=true
2026/06/25 10:27:06 desktop pet action=waving ticks=14 loop=false
2026/06/25 10:27:22 desktop pet action=jumping ticks=16 loop=false
2026/06/25 10:27:39 desktop pet action=waiting ticks=18 loop=true
2026/06/25 10:27:54 desktop pet action=running ticks=18 loop=true
2026/06/25 10:28:09 desktop pet action=review ticks=18 loop=true
2026/06/25 10:28:24 desktop pet action=waving ticks=14 loop=false
2026/06/25 10:28:39 desktop pet action=jumping ticks=16 loop=false
2026/06/25 10:28:54 desktop pet action=waiting ticks=18 loop=true
2026/06/25 10:29:10 desktop pet action=running ticks=18 loop=true
2026/06/25 10:29:27 desktop pet action=review ticks=18 loop=true
2026/06/25 10:29:43 desktop pet action=waving ticks=14 loop=false
2026/06/25 10:30:00 desktop pet action=jumping ticks=16 loop=false
2026/06/25 10:30:16 desktop pet action=waiting ticks=18 loop=true
2026/06/25 10:30:34 desktop pet action=running ticks=18 loop=true
2026/06/25 10:30:49 desktop pet action=review ticks=18 loop=true
2026/06/25 10:31:04 desktop pet action=waving ticks=14 loop=false
2026/06/25 10:31:18 desktop pet action=jumping ticks=16 loop=false
2026/06/25 10:31:34 desktop pet action=waiting ticks=18 loop=true
2026/06/25 10:31:50 desktop pet action=running ticks=18 loop=true
2026/06/25 10:32:06 desktop pet action=review ticks=18 loop=true
2026/06/25 10:32:22 desktop pet action=waving ticks=14 loop=false
2026/06/25 10:32:38 desktop pet action=jumping ticks=16 loop=false
2026/06/25 10:32:55 desktop pet action=waiting ticks=18 loop=true
2026/06/25 10:33:13 desktop pet action=running ticks=18 loop=true
2026/06/25 10:33:27 desktop pet action=review ticks=18 loop=true
2026/06/25 10:33:42 desktop pet action=waving ticks=14 loop=false
2026/06/25 10:33:57 desktop pet action=jumping ticks=16 loop=false
